드롭다운이름,lat,lon,사고건수,가로등수
광진구 성수사거리,37.54200432658701,127.06398803834713,21,0
광진구 건대입구역앞교차로(북북서방향 120M),37.54082067610404,127.06988220571833,23,3
광진구 어린이대공원역교차로,37.54718802118488,127.07433537071714,20,0
광진구 비츠로,37.536915259882086,127.06099665294391,23,35
광진구 중곡사거리,37.559567802554135,127.08738595335991,17,0
광진구 화양사거리,37.54838138547554,127.06760337796767,21,0
광진구 자양삼거리,37.538131139010275,127.07720031686493,18,0
광진구 광장사거리(동남동방향 52M),37.544939380244536,127.10487432976947,20,38
광진구 잠실대교북단앞교차로(남남동방향 153M),37.53132226008618,127.08633475722459,16,34
광진구 노룬산시장앞,37.539590394301605,127.06259423819317,15,14
광진구 능동119안전센터,37.55564564675599,127.07857646493198,14,0
광진구 동곡삼거리(북북동방향 57M),37.5646567548979,127.0768428448421,12,33
광진구 군자동134-58,37.5550376010826,127.07127618643284,12,26
광진구 자양동216-13,37.53620772991615,127.08348915419641,18,0
광진구 어린이대공원후문,37.55242122078422,127.0896183496805,12,0
광진구 삼원빌딩,37.55757397498796,127.07828423074389,11,0
광진구 흰돌교회,37.551723003573976,127.06947366327994,10,1
광진구 올림픽대교북단교차로,37.5412528056149,127.09603200597668,15,10
광진구 구의시장앞교차로,37.544590817810494,127.09057080904331,12,0
광진구 화양삼거리,37.54818160670431,127.07027382904259,12,0
광진구 아차산역앞교차로,37.55373749588435,127.08853348676709,12,0
광진구 중곡동주유소(서남서방향 85M),37.55973049689557,127.07339711909536,15,106
광진구 건대입구역앞교차로,37.539892337688585,127.07040182848698,48,7
구로구 신도림역앞교차로,37.510381872060776,126.89060458786717,25,53
구로구 오금교앞,37.50667203481876,126.87477605433087,22,12
구로구 구로역교차로,37.50304626530823,126.87986003741513,19,25
구로구 고척동우성아파트,37.506313393362134,126.86027735321564,17,0
구로구 구로정형외과앞교차로,37.49060741569247,126.88390544669134,21,10
구로구 개봉고가차도,37.493676165770815,126.85600385860322,26,30
구로구 기업은행구로북지점,37.4968498657383,126.8917891038486,23,0
구로구 대성빌딩,37.49027942014638,126.8560443018239,19,5
구로구 구로IC,37.489518343781754,126.87616158012821,20,11
구로구 디지털1단지교차로,37.484509262077324,126.89533457084231,21,0
구로구 현대자동차AS센타,37.48185220335329,126.88656464970032,26,0
구로구 광덕사거리,37.48887422035423,126.8356147544272,21,0
구로구 구로구청구의회,37.495486873433435,126.88912231729245,20,0
구로구 대림역앞교차로,37.49172599241285,126.89495134716601,27,0
구로구 경서농협개봉역지점,37.49163087200912,126.85599647741039,24,16
구로구 남구로역앞교차로,37.485059570525266,126.88633366646788,28,0
구로구 디지털단지오거리,37.479287592568596,126.89001680601595,76,0
구로구 거리공원입구교차로,37.50689883677211,126.88516956206007,23,0
구로구 구로1교,37.48706089685111,126.89736627221781,26,0
구로구 오류동삼거리(동북동방향 253M),37.4960120438731,126.84361672986829,30,0
구로구 디지털단지입구교차로(북서방향 53M),37.48284702477048,126.90069610974888,34,15
구로구 신도림역앞교차로,37.51009297337287,126.88998293313108,36,45
구로구 오금교앞교차로,37.50714029229536,126.87452645145208,34,15
구로구 구로현대로얄아파트,37.48694304550278,126.87768096754388,39,58
구로구 개봉사거리,37.49711860643567,126.85649482380758,35,16
구로구 오류동삼거리,37.49464785929526,126.84087169541625,36,0
구로구 오류IC(남서방향 157M),37.496934069062675,126.84589912197956,33,1
구로구 한일유앤아이앞교차로,37.485896584190435,126.87643892250937,45,36
구로구 개봉1동사거리,37.50175546499886,126.84668085875006,45,0
구로구 고척교교차로,37.498848085126696,126.87176967610854,50,12
금천구 마리오사거리,37.477934083464504,126.88789333113313,35,7
금천구 금천구청입구교차로,37.45750944723905,126.89931680285086,17,0
금천구 독산사거리(북방향 272M),37.47387119866209,126.89860525276198,11,0
금천구 시흥사거리(남방향 84M),37.454014575186584,126.9005647110914,17,0
금천구 시흥4동교차로(남남동방향 365M),37.45952333631034,126.90490901827937,11,0
금천구 롯데금빛어린이집,37.453471204320145,126.89733307317671,18,0
금천구 우림라이온스밸리2차,37.466040489752956,126.88761719320237,14,0
금천구 은행나무사거리,37.45239721132744,126.90601431356723,13,0
금천구 금천교앞교차로,37.46490165567825,126.88393390223591,14,0
금천구 박재영과위원,37.468801994909164,126.90274945767612,20,0
금천구 독산동중앙성결교회교차로,37.476335060598814,126.90350846372917,15,0
금천구 독산4동사거리(북방향 132M),37.46768391066137,126.90174484222668,17,0
금천구 관악농협협동조합,37.450769570170245,126.91011881002066,15,0
금천구 전화국사거리(남방향 362M),37.444033910841505,126.9036629650725,21,0
금천구 은행나무사거리(북서방향 230M),37.4534767170077,126.90388819628177,16,0
금천구 디지털단지오거리,37.479071045089334,126.88968925513419,19,0
금천구 독산동중앙성결교회교차로(북방향 176M),37.477830863610286,126.90366481914675,22,0
금천구 은행나무오거리,37.45120090348391,126.90861518009743,18,0
금천구 금천구청입구교차로,37.45701422739884,126.89971305360393,20,0
금천구 독산4동사거리,37.46651241911317,126.9015316010866,23,0
금천구 금천고가차도,37.465453557466034,126.88628422916754,25,0
금천구 독산동1080-6,37.46186027368401,126.89807891939738,19,0
금천구 독산4동사거리(남남동방향 230M),37.46449486926119,126.9023933212949,22,0
금천구 금천우체국앞교차로,37.469671805211675,126.89780831366755,28,0
금천구 독산동남문종합시장교차로,37.47100970954153,126.90304051684595,23,0
금천구 기아대교앞교차로,37.43844722810575,126.90318424030242,30,0
금천구 말미사거리,37.46638303223616,126.89771105532644,35,0
금천구 독산사거리,37.47143824154135,126.89833722757933,36,0
금천구 시흥사거리,37.45465416028962,126.9004056345964,32,0
금천구 디지털3단지교차로,37.47578288359871,126.88094378131342,51,8
노원구 북부검찰청입구교차로,37.61856211060313,127.0783481310034,27,16
노원구 월계4동사무소앞,37.6317626627878,127.0612666821905,34,91
노원구 노원역5번출구,37.65380087831527,127.06099014601948,22,0
노원구 하계역교차로,37.63558798637156,127.06830542859102,25,2
노원구 북부지청앞(서남서방향 77M),37.61786953977984,127.07653511820799,20,16
노원구 경성택시,37.62321407445436,127.07390126666985,18,0
노원구 녹천교앞교차로,37.64542369494908,127.05707411048088,16,30
노원구 상계초교입구교차로,37.65732973786794,127.06652342950564,23,0
노원구 중계근린공원앞교차로,37.6410133731312,127.06573841718598,16,0
노원구 월계2교,37.624622930403135,127.05052205432187,23,0
노원구 상계10동우체국,37.66074710431931,127.06165315971944,16,0
노원구 노원역앞교차로,37.65567527613425,127.06030039486171,22,0
노원구 상계교교차로,37.66176058842913,127.05259856765615,25,22
노원구 온수골사거리,37.661217196616654,127.05854820460272,20,0
노원구 노해근린공원앞교차로,37.64913808621171,127.06950764768047,28,0
노원구 노원역,37.654233559915774,127.06058253674155,28,0
"노원구 상계6,7동주민센터앞교차로",37.655707804524944,127.06681662833549,22,0
노원구 창동교앞교차로,37.652983756587325,127.05536874593683,25,29
노원구 월릉교,37.61586431460358,127.07013359942248,21,100
노원구 상계1416단지앞교차로,37.670678598402674,127.05627734001595,24,0
노원구 공릉역사거리,37.6256743732907,127.07292949674734,35,0
노원구 중계역앞교차로,37.64557330351988,127.06400879357572,33,0
노원구 태릉입구(서남서방향 106M),37.61687166882571,127.07302283799909,42,64
노원구 북부검찰청입구교차로,37.6188863605721,127.07850704844253,32,16
노원구 대진고교앞교차로,37.63871914354451,127.07532153583968,42,0
노원구 월계4동사무소앞,37.63144742944276,127.06105117526326,44,85
노원구 하계역교차로,37.63624560010918,127.06848730381537,37,0
노원구 화인리버빌,37.62154713961063,127.08725455708259,49,28
노원구 태릉입구역앞교차로,37.61762693720926,127.07550413517359,81,16
